tag,label
bike repair,bike_repair
puncture repair,puncture_repair
mobile repair,mobile_repair
laptop repair,laptop_repair
tv repair,tv_repair
fridge repair,fridge_repair
washing machine repair,washing_machine_repair
electrician service,electrician
plumber,plumber
car mechanic,car_mechanic
ac repair,ac_repair
geyser repair,geyser_repair
inverter repair,inverter_repair
fan repair,fan_repair
grocery store,grocery_store
vegetable shop,vegetable_shop
fruit shop,fruit_shop
medical store,medical_store
chemist shop,chemist_shop
stationery shop,stationery_shop
flower shop,flower_shop
bakery,bakery
sweet shop,sweet_shop
meat shop,meat_shop
pet store,pet_store
clothing store,clothing_store
mobile accessories,mobile_accessories
home cleaning,home_cleaning
maid service,maid_service
cook service,cook_service
water tank cleaning,water_tank_cleaning
pest control,pest_control
sofa cleaning,sofa_cleaning
carpet cleaning,carpet_cleaning
beauty parlour,beauty_parlour
salon,salon
spa,spa
massage center,massage_center
bridal makeup,bridal_makeup
men's grooming,mens_grooming
tuition center,tuition_center
home tutor,home_tutor
computer classes,computer_classes
dance class,dance_class
music class,music_class
courier service,courier_service
packers and movers,packers_movers
tempo service,tempo_service
pickup and drop service,pickup_drop_service
carpenter,carpenter
painter,painter
welder,welder
cctv technician,cctv_technician
driver on hire,driver_on_hire
gardener,gardener
plant nursery,plant_nursery
dog trainer,dog_trainer
vet clinic,vet_clinic
ambulance,ambulance
fire service,fire_service
police station,police_station
photocopy shop,photocopy_shop
internet cafe,internet_cafe
key maker,key_maker
tailor,tailor
laundry service,laundry_service
dry cleaner,dry_cleaner
cobbler,cobbler
Kirana (general store),Kirana (general store)
Fruits,Fruits
Vegetables,Vegetables
Dairy products,Dairy products
Milk,Milk
Eggs,Eggs
Bread,Bread
Flour (atta),Flour (atta)
Rice,Rice
Pulses,Pulses
Cooking oil,Cooking oil
Spices,Spices
Sugar,Sugar
Tea,Tea
Coffee,Coffee
Biscuits,Biscuits
Pickles,Pickles
Snacks,Snacks
Aqua,Aqua
Frozen food,Frozen food
Bakery,Bakery
Sweets (mithai),Sweets (mithai)
Ice cream,Ice cream
Dry fruits,Dry fruits
Baby food,Baby food
Chocolates,Chocolates
Soft drinks,Soft drinks
Packaged juices,Packaged juices
Organic groceries,Organic groceries
Masala powders,Masala powders
Ready-to-eat food,Ready-to-eat food
Ghee,Ghee
Honey,Honey
Detergent bar,Detergent bar
Soap,Soap
Incense sticks,Incense sticks
Sanitary pads,Sanitary pads
Mosquito repellents,Mosquito repellents
Hair oil,Hair oil
Perfume,Perfume
Room freshener,Room freshener
Toilet cleaner,Toilet cleaner
Floor cleaner,Floor cleaner
Electrician,Electrician
Plumber,Plumber
Carpenter,Carpenter
Painter,Painter
AC repair,AC repair
Refrigerator repair,Refrigerator repair
Washing machine repair,Washing machine repair
RO service,RO service
Mobile repair,Mobile repair
Laptop repair,Laptop repair
TV repair,TV repair
Fan repair,Fan repair
Water motor repair,Water motor repair
Inverter service,Inverter service
Generator repair,Generator repair
CCTV technician,CCTV technician
Solar panel repair,Solar panel repair
Furniture,Furniture
Gas service,Gas service
Water purifier installation,Water purifier installation
DTH service,DTH service
Borewell,Borewell
Plumber,Plumber
Cab,Cab
Courier service,Courier service
Goods tempo,Goods tempo
Two-wheeler transport,Two-wheeler transport
Car transport,Car transport
transport,transport
Pickup van,Pickup van
Intercity courier,Intercity courier
Movers & packers,Movers & packers
Local delivery boy,Local delivery boy
Laundry pickup,Laundry pickup
Gas cylinder delivery,Gas cylinder delivery
Drinking water delivery,Drinking water delivery
Tiffin delivery,Tiffin delivery
Flower delivery,Flower delivery
